t,qN,qS,qE,qW,phase,sub
1,0,0,0,0,0,G
2,0,0,0,0,0,G
3,0,0,0,0,0,G
4,0,0,0,0,0,G
5,0,0,0,0,0,G
6,0,0,0,0,0,G
7,0,0,0,0,0,G
8,0,0,0,0,0,G
9,0,0,0,0,0,G
10,0,0,0,0,0,G
11,0,0,0,0,0,G
12,0,0,0,0,0,G
13,0,0,0,0,0,G
14,0,0,0,0,0,G
15,0,0,0,0,0,G
16,0,0,0,0,0,G
17,0,0,0,0,0,G
18,0,0,0,0,0,G
19,0,0,0,0,0,G
20,0,0,0,0,0,G
21,0,0,0,0,0,Y
22,0,0,0,0,0,Y
23,0,0,0,0,0,Y
24,0,0,0,0,0,Y
25,0,0,0,0,0,AR
26,0,0,0,0,0,AR
27,0,0,0,0,1,G
28,0,0,0,0,1,G
29,0,0,0,0,1,G
30,0,0,0,0,1,G
31,0,0,0,0,1,G
32,0,0,0,0,1,G
33,0,0,0,0,1,G
34,0,0,0,0,1,G
35,0,0,0,0,1,G
36,0,0,0,0,1,G
37,0,0,0,0,1,G
38,0,0,0,0,1,G
39,0,0,0,0,1,G
40,0,0,0,0,1,G
41,0,0,0,0,1,G
42,0,0,0,0,1,G
43,0,0,0,0,1,G
44,0,0,0,0,1,G
45,0,0,0,0,1,G
46,0,0,0,0,1,G
47,0,0,0,0,1,G
48,0,0,0,0,1,Y
49,0,0,0,0,1,Y
50,0,0,0,0,1,Y
51,0,0,0,0,1,Y
52,0,0,0,0,1,AR
53,0,0,0,0,1,AR
54,0,0,0,0,0,G
55,0,0,0,0,0,G
56,0,0,0,0,0,G
57,0,0,0,0,0,G
58,0,0,0,0,0,G
59,0,0,0,0,0,G
60,0,0,0,0,0,G
61,0,0,0,0,0,G
62,0,0,0,0,0,G
63,0,0,0,0,0,G
64,0,0,0,0,0,G
65,0,0,0,1,0,G
66,0,0,0,1,0,G
67,0,0,0,1,0,G
68,0,0,1,1,0,G
69,0,1,1,1,0,G
70,0,1,1,1,0,G
71,0,1,1,1,0,G
72,0,2,1,1,0,G
73,0,2,1,1,0,G
74,0,2,1,1,0,G
75,0,2,1,1,0,Y
76,0,2,2,1,0,Y
77,0,2,2,1,0,Y
78,0,3,2,1,0,Y
79,0,3,2,1,0,AR
80,0,3,2,1,0,AR
81,0,3,2,1,1,G
82,0,3,2,1,1,G
83,0,3,2,1,1,G
84,0,3,2,1,1,G
85,0,3,2,1,1,G
86,0,4,2,1,1,G
87,0,5,2,1,1,G
88,0,5,2,1,1,G
89,0,5,2,1,1,G
90,1,5,2,1,1,G
91,1,5,3,2,1,G
92,1,5,3,2,1,G
93,1,5,3,3,1,G
94,1,6,3,3,1,G
95,1,6,3,3,1,G
96,1,6,3,4,1,G
97,1,7,3,4,1,G
98,1,7,3,4,1,G
99,1,7,4,5,1,G
100,1,7,4,5,1,G
101,1,7,4,5,1,G
102,1,7,4,5,1,Y
103,1,7,4,5,1,Y
104,1,7,4,5,1,Y
105,1,7,4,5,1,Y
106,1,8,4,5,1,AR
107,2,8,4,5,1,AR
108,2,8,4,5,0,G
109,2,9,5,4,0,G
110,2,9,5,4,0,G
111,2,9,5,4,0,G
112,2,9,5,4,0,G
113,2,8,5,4,0,G
114,3,8,5,4,0,G
115,3,8,5,4,0,G
116,3,7,5,4,0,G
117,3,7,6,5,0,G
118,3,7,7,5,0,G
119,3,8,7,5,0,G
120,3,8,6,5,0,G
121,3,8,6,5,0,G
122,3,8,6,6,0,G
123,3,9,6,6,0,G
124,3,9,6,6,0,G
125,3,9,6,6,0,G
126,3,9,6,6,0,G
127,3,9,6,6,0,G
128,3,9,6,6,0,G
129,4,9,6,6,0,Y
130,4,8,7,6,0,Y
131,4,8,7,6,0,Y
132,4,9,7,6,0,Y
133,4,9,7,6,0,AR
134,3,9,7,7,0,AR
135,4,9,6,6,1,G
136,4,9,7,6,1,G
137,4,10,7,5,1,G
138,4,9,7,6,1,G
139,4,9,7,6,1,G
140,4,9,7,5,1,G
141,4,8,7,6,1,G
142,4,8,7,6,1,G
143,4,8,6,5,1,G
144,4,9,6,5,1,G
145,4,9,6,5,1,G
146,4,9,6,5,1,G
147,4,9,6,5,1,G
148,4,9,6,5,1,G
149,4,9,6,5,1,G
150,4,8,6,5,1,G
151,3,8,6,5,1,G
152,3,8,6,5,1,G
153,3,7,5,5,1,G
154,3,7,5,7,1,G
155,3,7,5,7,1,G
156,3,7,4,7,1,Y
157,3,8,4,7,1,Y
158,2,8,5,7,1,Y
159,2,9,5,7,1,Y
160,2,10,5,7,1,AR
161,2,10,4,6,1,AR
162,2,10,3,6,0,G
163,3,9,3,6,0,G
164,3,10,4,6,0,G
165,3,10,4,7,0,G
166,3,9,4,6,0,G
167,3,8,4,6,0,G
168,3,10,4,6,0,G
169,3,10,4,6,0,G
170,3,11,4,6,0,G
171,3,11,4,6,0,G
172,3,11,4,6,0,G
173,2,11,4,7,0,G
174,2,11,3,7,0,G
175,2,10,3,7,0,G
176,2,9,3,7,0,G
177,2,9,3,7,0,G
178,2,9,3,6,0,G
179,1,10,3,6,0,G
180,1,10,2,6,0,G
181,1,9,2,6,0,G
182,1,9,2,5,0,G
183,1,9,2,5,0,Y
184,1,9,2,5,0,Y
185,2,9,2,4,0,Y
186,2,9,3,4,0,Y
187,2,9,3,5,0,AR
188,3,8,3,5,0,AR
189,3,8,3,6,1,G
190,3,8,3,6,1,G
191,3,8,3,6,1,G
192,3,8,3,6,1,G
193,3,8,3,6,1,G
194,3,8,3,6,1,G
195,3,8,4,6,1,G
196,3,8,4,6,1,G
197,3,8,4,6,1,G
198,3,8,4,4,1,G
199,3,8,5,4,1,G
200,3,8,5,4,1,G
